"施設名称","所在地","施設名かな","カテゴリ","分類","TEL","FAX","URL","URL2","バリアフリー情報","詳細情報","備考","経度","緯度","分類"
"体育会館前交番","大阪市浪速区難波中3-4-39","たいいくかいかんまえこうばん","警察・消防","交番","","","","","","","","135.4994641","34.6627560000004","交番"
"阿倍野警察署","大阪市阿倍野区阿倍野筋5-13-5","あべのけいさつしょ","警察・消防","警察署","06-6653-1234","06-6658-3913","http://www.police.pref.osaka.jp/04shikumi/ps/121abeno_1.html","","","(防犯・交通安全等","","135.5099973","34.6379611000003","警察署"
"井高野交番","大阪市東淀川区井高野1-28-21","いたかのこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5447473","34.7630059000003","交番"
"東淀川消防署柴島出張所","大阪市東淀川区柴島3-10-21","ひがしよどがわしょうぼうしょ　くにじましゅっちょうしょ","警察・消防","消防施設","06-6323-0119","06-6323-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.51599","34.7306300000003","消防施設"
"東淀川消防署小松出張所","大阪市東淀川区小松3-3-11","ひがしよどがわしょうぼうしょ　こまつしゅっちょうしょ","警察・消防","消防施設","06-6325-0119","06-6325-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.53979","34.7520000000003","消防施設"
"東淀川消防署西淡路出張所","大阪市東淀川区西淡路2-5-5","ひがしよどがわしょうぼうしょ　にしあわじしゅっちょうしょ","警察・消防","消防施設","06-6321-0119","06-6321-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5058683","34.7353492800003","消防施設"
"東淀川消防署豊里出張所","大阪市東淀川区豊新5-10-3","ひがしよどがわしょうぼうしょ　とよさとしゅっちょうしょ","警察・消防","消防施設","06-6328-0119","06-6328-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.53746","34.7457200000003","消防施設"
"東淀川消防署井高野出張所","大阪市東淀川区北江口1-2-10","ひがしよどがわしょうぼうしょ　いたかのしゅっちょうしょ","警察・消防","消防施設","06-6349-0119","06-6349-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.54315","34.7584200000003","消防施設"
"大淀警察署","大阪市北区中津1-5-25","おおよどけいさつしょ","警察・消防","警察署","06-6376-1234","","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6413.html","","","(防犯・交通安全等","","135.495733000001","34.7101609000004","警察署"
"曽根崎警察署","大阪市北区曽根崎2-16-14","そねざきけいさつしょ","警察・消防","警察署","06-6315-1234","","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6412.html","","","(防犯・交通安全等","","135.4997532","34.7016498000004","警察署"
"天満警察署","大阪市北区西天満1-12-12","てんまけいさつしょ","警察・消防","警察署","06-6363-1234","","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6411.html","","","(防犯・交通安全等","","135.5053755","34.6948163000003","警察署"
"住吉警察署・杉本町駅前交番","大阪市住吉区杉本3丁目2番79号","すみよしけいさつしょ・すぎもとちょうえきまえこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005088.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5029642","34.5941140000004","交番"
"住吉警察署・清水丘交番","大阪市住吉区清水丘2丁目2番18号","すみよしけいさつしょ・しみずがおかこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005087.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.493711100001","34.6029940000004","交番"
"住吉警察署・長居交番","大阪市住吉区長居3丁目1番1号","すみよしけいさつしょ・ながいこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005073.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5127718","34.6116451000003","交番"
"住吉警察署","大阪市住吉区東粉浜3丁目28番3号","すみよしけいさつしょ","警察・消防","警察署","06-6675-1234","","http://www.info.police.pref.osaka.jp/ps/sumiyoshi/index.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6391.html","","","","135.491669000001","34.6150999000004","警察署"
"住吉警察署・南住吉交番","大阪市住吉区南住吉4丁目9番26号","すみよしけいさつしょ・みなみすみよしこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005084.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5020998","34.6023500000004","交番"
"住吉警察署・墨江交番","大阪市住吉区墨江1丁目7番18号","すみよしけいさつしょ・すみえこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005086.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.492744300001","34.6094000000004","交番"
"住吉警察署・万代交番","大阪市住吉区万代東3丁目1番65号","すみよしけいさつしょ・ばんだいこうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005085.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5044033","34.6173751000003","交番"
"住吉消防署万代出張所","大阪市住吉区万代東4-1-23","すみよししょうぼうしょ　まんだいしゅっちょうしょ","警察・消防","消防施設","06-6693-0119","06-6693-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5027936","34.6140161900003","消防施設"
"住之江消防署","大阪市住之江区御崎4-11-6","すみのえしょうぼうしょ","警察・消防","消防施設","06-6685-0119","06-6685-8120","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.477080000001","34.6092414800004","消防施設"
"住之江警察署","大阪市住之江区新北島3-1-57","すみのえけいさつしょ","警察・消防","警察署","06-6682-1234","","http://www.police.pref.osaka.jp/sodan/ps/","","","","","135.468974900001","34.6091531000005","警察署"
"中央消防署東雲出張所","大阪市中央区玉造2-13-12","ちゅうおうしょうぼうしょ　しののめしゅっちょうしょ","警察・消防","消防施設","06-6761-0119","06-6761-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5300296","34.6752850800003","消防施設"
"中央消防署南阪町出張所","大阪市中央区千日前2-1-15","ちゅうおうしょうぼうしょ　みなみさかまちしゅっちょうしょ","警察・消防","消防施設","06-6632-0119","06-6632-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5052768","34.6666602700004","消防施設"
"東淀川警察署","大阪市東淀川区豊新1-6-18","ひがしよどがわけいさつしょ","警察・消防","警察署","06-6325-1234","06-6370-6419","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","(防犯・交通安全等","","135.5338921","34.7417441000003","警察署"
"中央消防署","大阪市中央区内本町2-1-6","ちゅうおうしょうぼうしょ","警察・消防","消防施設","06-6947-0119","06-6942-5745","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","(防火・救急救命講習等)","","135.51379","34.6836400000003","消防施設"
"中央消防署上町出張所","大阪市中央区中寺1-2-28","ちゅうおうしょうぼうしょ　うえまちしゅっちょうしょ","警察・消防","消防施設","06-6764-0119","06-6764-6940","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5151564","34.6716396300003","消防施設"
"中央消防署道頓堀出張所","大阪市中央区道頓堀1-10-3","ちゅうおうしょうぼうしょ　どうとんぼりしゅっちょうしょ","警察・消防","消防施設","06-6212-0119","06-6212-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5007162","34.6688615800004","消防施設"
"安土町交番","大阪市中央区安土町3-1-11","あづちまちこうばん","警察・消防","交番","","","","","","","","135.5027917","34.6845441000003","交番"
"難波交番","大阪市中央区難波5-1-60","なんばこうばん","警察・消防","交番","","","","","","","","135.5008722","34.6637139000004","交番"
"旭警察署","大阪市旭区中宮1-4-1","あさひけいさつしょ","警察・消防","警察署","06-6952-1234","06-6951-0382","http://www.police.pref.osaka.jp/04shikumi/ps/119asahi_1.html","","","(防犯・交通安全等","","135.5387719","34.7225169000003","警察署"
"此花消防署桜島出張所","大阪市此花区桜島3-4-98","このはなしょうぼうしょ　さくらじましゅっちょうしょ","警察・消防","消防施設","06-6462-0119","06-6462-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.427195600001","34.6618864000006","消防施設"
"此花警察署","大阪市此花区春日出北1-3-1","このはなけいさつしょ","警察・消防","警察署","6466-1234","6463-9056","http://www.police.pref.osaka.jp/index.html","","","","","135.450763800001","34.6817171000005","警察署"
"此花消防署","大阪市此花区春日出北1-8-30","このはなしょうぼうしょ","警察・消防","消防施設","06-6461-0119","06-6461-5572","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.452080000001","34.6835026900005","消防施設"
"港消防署","大阪市港区弁天1-4-1","みなとしょうぼうしょ","警察・消防","消防施設","06-6573-0119","06-6573-0325","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.459630000001","34.6681500000005","消防施設"
"東警察署","大阪市中央区本町1-3-18","ひがしけいさつしょ","警察・消防","交番","06-6268-1234","","","","","(防犯・交通安全等","","135.5089577","34.6832440000003","交番"
"南警察署","大阪市中央区東心斎橋1-5-26","みなみけいさつしょ","警察・消防","交番","06-6281-1234","","","","","(防犯・交通安全等","","135.505517","34.6724498000003","交番"
"千日前交番","大阪市中央区千日前2-8-11","せんにちまえこうばん","警察・消防","交番","","","","","","","","135.5039997","34.6655892000004","交番"
"北浜交番","大阪市中央区北浜3-5-29","きたはまこうばん","警察・消防","交番","","","","","","","","135.5026574","34.6920461700004","交番"
"平野町交番","大阪市中央区安土町1-1-3","ひらのまちこうばん","警察・消防","交番","","","","","","","","135.5094939","34.6848654500003","交番"
"北久宝寺町交番","大阪市中央区北久宝寺町3-2-12","きたきゅうほうじまちこうばん","警察・消防","交番","","","","","","","","135.5033388","34.6798529000003","交番"
"南久宝寺町交番","大阪市中央区南久宝寺町1-2-5","みなみきゅうほうじまちこうばん","警察・消防","交番","","","","","","","","135.5105862","34.6790558000003","交番"
"天満橋交番","大阪市中央区天満橋京町1-1","てんまばしこうばん","警察・消防","交番","","","","","","","","135.5160111","34.6901250000003","交番"
"南大江交番","大阪市中央区谷町4-10-1","みなみおおえこうばん","警察・消防","交番","","","","","","","","135.5168169","34.6802810000003","交番"
"上町交番","大阪市中央区上町1-2-30","うえまちこうばん","警察・消防","交番","","","","","","","","135.5262118","34.6778922100003","交番"
"城見交番","大阪市中央区城見1-3-7","しろみこうばん","警察・消防","交番","","","","","","","","135.5312557","34.6918139000003","交番"
"西心斎橋交番","大阪市中央区西心斎橋2-11-29","にししんさいばしこうばん","警察・消防","交番","","","","","","","","135.4980473","34.6719670000004","交番"
"道頓堀交番","大阪市中央区宗右衛門町4-2","どうとんぼりこうばん","警察・消防","交番","","","","","","","","135.5032923","34.6693280000003","交番"
"長堀交番","大阪市中央区島之内1-7-14","ながほりこうばん","警察・消防","交番","","","","","","","","135.5093438","34.6748690000003","交番"
"戎橋交番","大阪市中央区道頓堀１-10-2","えびすばしこうばん","警察・消防","交番","","","","","","","","135.501044","34.6688999000004","交番"
"高津交番","大阪市中央区高津3-2-37","こうづこうばん","警察・消防","交番","","","","","","","","135.5103221","34.6665308000003","交番"
"東平交番","大阪市中央区上本町西5-1-21","とうへいこうばん","警察・消防","交番","","","","","","","","135.5184938","34.6682420000003","交番"
"大阪府警察本部","大阪市中央区大手前3-1-11","おおさかふけいほんぶ","警察・消防","警察署","06-6943-1234","","http://www.police.pref.osaka.jp/","","","","","135.5209469","34.6840721000003","警察署"
"阿倍野消防署","大阪市阿倍野区松崎町4-4-30","あべのしょうぼうしょ","警察・消防","消防施設","06-6628-0119","06-6628-0925","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5163447","34.6397175800003","消防施設"
"此花消防署西九条出張所","大阪市此花区西九条5-4-20","このはなしょうぼうしょ　にしくじょうしゅっちょうしょ","警察・消防","消防施設","06-6463-0119","06-6463-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.464491500001","34.6832970900005","消防施設"
"大隅交番","大阪市東淀川区大隅2-5-11","おおすみこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5469471","34.7504611000003","交番"
"豊里交番","大阪市東淀川区豊里5-16-55","とよさとこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5458576","34.7389080000002","交番"
"上新庄交番","大阪市東淀川区上新庄2-4-15","かみしんじょうこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.528236","34.7485830000003","交番"
"菅原交番","大阪市東淀川区菅原2-7-6","すがはらこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5270078","34.7382809000003","交番"
"住吉消防署","大阪市住吉区遠里小野1-1-9","すみよししょうぼうしょ","警察・消防","消防施設","06-6695-0119","06-6684-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.4991427","34.6009332500004","消防施設"
"住吉警察署・我孫子交番","大阪市住吉区我孫子東3丁目1番11号","すみよしけいさつしょ・あびここうばん","警察・消防","交番","","","http://info.police.pref.osaka.jp/ps/sumiyoshi/1005070/1005083.html","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/1/6326.html","","","","135.5123689","34.5969329000003","交番"
"住吉消防署苅田出張所","大阪市住吉区苅田9-1-19","すみよししょうぼうしょ　かりたしゅっちょうしょ","警察・消防","消防施設","06-6698-0119","06-6698-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5164862","34.5979397100003","消防施設"
"三明町交番","大阪市阿倍野区三明町1－2－31","さんめいちょうこうばん","警察・消防","交番","","","","","","","","135.5194418","34.6434609000003","交番"
"金塚交番","大阪市阿倍野区旭町2－2－41","かなづかこうばん","警察・消防","交番","","","","","","","","135.5097777","34.6447081000003","交番"
"聖天山公園交番","大阪市阿倍野区松虫通3－2－60","しょうてんやまこうえんこうばん","警察・消防","交番","","","","","","","","135.5043582","34.6356832000004","交番"
"高松交番","大阪市阿倍野区天王寺町北3－17－40","たかまつこうばん","警察・消防","交番","","","","","","","","135.5241081","34.6437392000003","交番"
"阪南町交番","大阪市阿倍野区阪南町2－23－12","はんなんちょうこうばん","警察・消防","交番","","","","","","","","135.5155388","34.6309859000003","交番"
"晴明丘交番","大阪市阿倍野区北畠1－18－37","せいめいがおかこうばん","警察・消防","交番","","","","","","","","135.5051356","34.6266832000004","交番"
"西田辺交番","大阪市阿倍野区昭和町5－12－15","にしたなべこうばん","警察・消防","交番","","","","","","","","135.5161108","34.6216110000003","交番"
"阿部野橋交番","大阪市阿倍野区阿倍野筋1-1-43","あべのばしこうばん","警察・消防","交番","","","","","","","","135.5135169","34.6456171000003","交番"
"阿倍野消防署晴明通出張所","大阪市阿倍野区晴明通9-16","あべのしょうぼうしょ　せいめいどおりしゅっちょうしょ","警察・消防","消防施設","06-6656-0119","06-6656-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.50486","34.6328931500003","消防施設"
"阿倍野消防署阪南出張所","大阪市阿倍野区播磨町1-23-17","あべのしょうぼうしょ　はんなんしゅっちょうしょ","警察・消防","消防施設","06-6606-0119","06-6606-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.51071","34.6218100000003","消防施設"
"北消防署","大阪市北区茶屋町19-41","きたしょうぼうしょ","警察・消防","消防施設","06-6372-0119","06-6372-4885","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.4993717","34.7089492100004","消防施設"
"淡路駅前交番","大阪市東淀川区東淡路4-19-1","あわじえきまえこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5177669","34.7385330000003","交番"
"淡路交番","大阪市東淀川区淡路3-16-18","あわじこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.512794","34.7388999000003","交番"
"新大阪駅東交番","大阪市東淀川区東中島1-17-24","しんおおさかえきひがしこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5032997","34.7322389000003","交番"
"崇禅寺駅前交番","大阪市東淀川区東中島3-17-2","そうぜんじえきまえこうばん","警察・消防","交番","","","https://www.city.osaka.lg.jp/higashiyodogawa/page/0000000328.html","","","","","135.5099421","34.7313031000003","交番"
"旭消防署","大阪市旭区大宮1-1-11","あさひしょうぼうしょ","警察・消防","消防施設","06-6952-0119","06-6952-0125","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5436527","34.7213649400003","消防施設"
"水上消防署","大阪市港区築港3-1-47","すいじょうしょうぼうしょ","警察・消防","消防施設","06-6574-0119","06-6574-0140","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.433316500001","34.6573516800006","消防施設"
"平野警察署","大阪市平野区喜連西6-2-51","ひらのけいさつしょ","警察・消防","警察署","06-6769-1234","","https://www.police.pref.osaka.lg.jp/sogo/keisatsusyo/4/6389.html","","","","","135.5480715","34.6097073000003","警察署"
"平野消防署","大阪市平野区平野南1-2-9","ひらのしょうぼうしょ","警察・消防","消防施設","06-6790-0119","06-6790-8101","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.5586869","34.6205004800002","消防施設"
"淀川消防署加島出張所","大阪市淀川区加島1-57-34","よどがわしょうぼうしょ　かしましゅっちょうしょ","警察・消防","消防施設","06-6394-0119","06-6394-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.461810000001","34.7287266600005","消防施設"
"淀川警察署","大阪市淀川区十三本町3-7-27","よどがわけいさつしょ","警察・消防","警察署","06-6305-1234","","http://www.police.pref.osaka.jp/04shikumi/ps/115yodogawa_1.html","","","","","135.481436300001","34.7232280000004","警察署"
"淀川消防署東三国出張所","大阪市淀川区東三国2-17-4","よどがわしょうぼうしょ　ひがしみくにしゅっちょうしょ","警察・消防","消防施設","06-6394-0119","06-6394-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.50111","34.7420600000004","消防施設"
"淀川消防署","大阪市淀川区木川東4-10-12","よどがわしょうぼうしょ","警察・消防","消防施設","06-6308-0119","06-6308-4071","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.491295600001","34.7277789100004","消防施設"
"淀川消防署十三橋出張所","大阪市淀川区野中南2-1-1","よどがわしょうぼうしょ　じゅうそうばししゅっちょうしょ","警察・消防","消防施設","06-6303-0119","06-6303-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.483213300001","34.7257335000004","消防施設"
"浪速消防署","大阪市浪速区元町1-14-20","なにわしょうぼうしょ","警察・消防","消防施設","06-6641-0119","06-6634-0119","https://www.city.osaka.lg.jp/shobo/page/0000018935.html","","","","","135.495540000001","34.6632300000004","消防施設"
"浪速警察署","大阪市浪速区日本橋5-5-11","なにわけいさつしょ","警察・消防","警察署","06-6633-1234","06-6645-5862","http://www.police.pref.osaka.jp/04shikumi/ps/112naniwa_1.html","","","","","135.5059138","34.6547469000003","警察署"
"桜川交番","大阪市浪速区桜川3-1-1","さくらがわこうばん","警察・消防","交番","","","","","","","","135.487968800001","34.6681999000004","交番"
"日本橋東交番","大阪市浪速区日本橋東3-2-16","にほんばしひがしこうばん","警察・消防","交番","","","","","","","","135.5073138","34.6582831000003","交番"
"大国交番","大阪市浪速区大国3-1-1","だいこくこうばん","警察・消防","交番","","","","","","","","135.494235900001","34.6566220000004","交番"
"浪速町交番","大阪市浪速区浪速東3-12-15","なにわちょうこうばん","警察・消防","交番","","","","","","","","135.488544200001","34.6555280000004","交番"
"恵美須交番","大阪市浪速区恵美須西3-3-37","えびすこうばん","警察・消防","交番","","","","","","","","135.5031919","34.6511921000004","交番"
"新世界交番","大阪市浪速区恵美須東3-4-20","しんせかいこうばん","警察・消防","交番","","","","","","","","135.5057063","34.6493169000003","交番"
"ＪＲなんば駅前交番","大阪市浪速区湊町1-4-1ＯＣＡＴビル内","じぇいあーるなんばえきまえこうばん","警察・消防","交番","","","","","","","","135.495064000001","34.6667861000004","交番"
